CaseID,contest_no,Education,Gender,Country of Origin,Reason for Application,Job,Job Experience,Job Plans,Prior Entry,Language Skills,Chosen_Immigrant,ethnocentrism,profile,LangPos,PriorPos
4,1,high school,male,Iraq,seek better job,nurse,5+ years,contract with employer,once as tourist,tried English but unable,1,50,1,5,4
4,1,no formal,female,France,seek better job,child care provider,3-5 years,interviews with employer,once w/o authorization,used interpreter,0,50,2,5,4
4,2,graduate degree,female,Sudan,escape persecution,gardener,3-5 years,contract with employer,once as tourist,fluent English,0,50,1,5,4
4,2,4th grade,female,Germany,reunite with family,construction worker,5+ years,interviews with employer,never,fluent English,1,50,2,5,4
4,3,high school,female,Philippines,seek better job,nurse,5+ years,interviews with employer,once w/o authorization,broken English,1,50,1,5,4
4,3,college degree,male,Sudan,seek better job,child care provider,none,contract with employer,never,fluent English,0,50,2,5,4
4,4,two-year college,male,Iraq,escape persecution,teacher,5+ years,will look for work,never,used interpreter,0,50,1,5,4
4,4,8th grade,female,Poland,seek better job,construction worker,1-2 years,interviews with employer,once as tourist,fluent English,1,50,2,5,4
4,5,two-year college,female,Philippines,seek better job,teacher,3-5 years,interviews with employer,once as tourist,used interpreter,1,50,1,5,4
4,5,no formal,male,Mexico,seek better job,nurse,5+ years,no plans to look for work,once as tourist,used interpreter,0,50,2,5,4
6,1,4th grade,female,Sudan,escape persecution,teacher,none,will look for work,many times as tourist,fluent English,1,0,1,4,3
6,1,no formal,female,Germany,reunite with family,janitor,1-2 years,no plans to look for work,once w/o authorization,broken English,0,0,2,4,3
6,2,4th grade,female,Sudan,escape persecution,waiter,1-2 years,no plans to look for work,once as tourist,fluent English,0,0,1,4,3
6,2,graduate degree,female,Mexico,seek better job,nurse,3-5 years,will look for work,many times as tourist,fluent English,1,0,2,4,3
6,3,graduate degree,female,Philippines,seek better job,janitor,3-5 years,will look for work,six months with family,used interpreter,0,0,1,4,3
6,3,high school,female,Sudan,escape persecution,child care provider,3-5 years,no plans to look for work,once w/o authorization,tried English but unable,1,0,2,4,3
6,4,college degree,male,Somalia,reunite with family,teacher,5+ years,interviews with employer,six months with family,broken English,1,0,1,4,3
6,4,graduate degree,female,Germany,seek better job,janitor,5+ years,will look for work,once w/o authorization,tried English but unable,0,0,2,4,3
6,5,8th grade,female,France,reunite with family,waiter,5+ years,contract with employer,six months with family,tried English but unable,1,0,1,4,3
6,5,8th grade,female,France,seek better job,child care provider,5+ years,interviews with employer,once w/o authorization,broken English,0,0,2,4,3
7,1,8th grade,male,Mexico,reunite with family,waiter,none,contract with employer,never,used interpreter,0,8.333336,1,3,6
7,1,8th grade,male,China,escape persecution,child care provider,5+ years,interviews with employer,never,broken English,1,8.333336,2,3,6
