statesabbrev,dv_c_t1,dv_c_t2,dv_p_t2,t2_year,t1_atlargeormulticandidate,t1_openseat,t2_3rdpartyinc,t2_demfrinc,t2_incumbent_has_switched_prty,t2_is_midterm,t2_opend,t2_openr,t2_openseat,t2_redist,t2_repfrinc,t2_specialelectiontoeelect,t2_missingdexp,t2_missingrexp,t2_dexp,t2_rexp,t2_icf
FL,-0.5,-0.09466099739074707,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.3013000000000003,92.6106,0.9459999799728394
IL,-0.2023749053478241,-0.17277349531650543,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,126.2225,0.9459999799728394
LA,-0.2070000022649765,-0.20179639756679535,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15.5823,119.9376,0.9459999799728394
SC,-0.5,-0.5,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.7891,85.79220000000001,0.9459999799728394
NC,-0.20699329674243927,-0.18644680082798004,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9765,67.49170000000001,0.9459999799728394
CA,0.2608231008052826,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,71.9639,0,0.9459999799728394
NJ,0.18050619959831238,0.2214035987854004,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,91.2808,5.211399999999999,0.9459999799728394
CA,-0.13989080488681793,-0.11122749745845795,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,31.376600000000003,63.3991,0.9459999799728394
CT,-0.02434450015425682,-0.01713930070400238,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,296.15,380.4187,0.9459999799728394
CA,-0.155268594622612,-0.11878360062837601,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0078,35.4651,0.9459999799728394
FL,-0.18041729927062988,0.009718500077724457,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,278.3045,81.4562,0.9459999799728394
TX,-0.15153099596500397,-0.11684200167655945,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0135,55.47089999999999,0.9459999799728394
TX,-0.11996690183877945,-0.1921384036540985,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95.5344,0.9459999799728394
MI,-0.1789875030517578,-0.1459416002035141,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.4122,45.854,0.9459999799728394
NY,0.30944401025772095,0.33966830372810364,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150.54770000000002,0,0.9459999799728394
MA,0.2054104059934616,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,70.5491,0,0.9459999799728394
NY,0.2761772871017456,0.26447048783302307,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,94.564,0.3359,0.9459999799728394
PA,-0.12760929763317108,-0.07840999960899353,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.1321,148.2467,0.9459999799728394
OH,0.2719346880912781,0.3025144040584564,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,64.2773,0,0.9459999799728394
MN,0.13360939919948578,0.1970469057559967,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.1908,7.5617,0.9459999799728394
FL,0.5,0.19659240543842316,0,2006,0,0,0,0,0,1,1,0,1,0,0,0,0,0,122.1825,2.799,0.9459999799728394
IL,0.3708530068397522,0.3584023118019104,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.5779,0,0.9459999799728394
IL,-0.19357669353485107,-0.10710719972848892,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16.6732,82.6242,0.9459999799728394
MD,0.1848558932542801,0.19290299713611603,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,59.098400000000005,0.8448,0.9459999799728394
NY,-0.05626169964671135,-0.01984810084104538,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,238.63580000000002,527.5474,0.9459999799728394
PA,-0.5,-0.15632300078868866,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.4531,37.4579,0.9459999799728394
IL,0.5,0.3776853084564209,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,94.6866,0,0.9459999799728394
NJ,0.1845943033695221,0.1937195062637329,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87.4194,1.5289,0.9459999799728394
NY,-0.16735529899597168,0.012175300158560276,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,162.9865,251.9164,0.9459999799728394
CO,-0.10337220132350922,-0.09519589692354202,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80.65180000000001,175.4235,0.9459999799728394
AR,0.5,0.2473134994506836,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.9459999799728394
AL,-0.5,-0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,189.3917,0.9459999799728394
MI,-0.14927460253238678,-0.11483050137758255,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.203,111.1769,0.9459999799728394
FL,0.20186999440193176,0.5,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,1,82.86580000000001,0,0.9459999799728394
NE,-0.05778399854898453,-0.0835563987493515,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,99.4032,113.43320000000001,0.9459999799728394
LA,-0.5,-0.27300000190734863,0,2006,0,0,0,0,NA,1,0,0,0,0,0,0,1,0,0,224.6203,0.9459999799728394
TX,-0.5,-0.2636454999446869,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7384,55.1841,0.9459999799728394
CA,-0.20539690554141998,-0.10576719790697098,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88.6086,119.7702,0.9459999799728394
OH,-0.1704591065645218,-0.0684652030467987,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.5664,72.3408,0.9459999799728394
TX,0.18481670320034027,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,68.1551,0,0.9459999799728394
AR,0.08170130103826523,0.1052796021103859,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64.3531,9.8845,0.9459999799728394
TX,0.5,0.32005688548088074,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41.011700000000005,7.361400000000001,0.9459999799728394
VA,-0.05135490000247955,-0.014118799939751625,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,170.3424,234.8983,0.9459999799728394
NJ,-0.1467197984457016,-0.08732839673757553,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.1186,131.4846,0.9459999799728394
OH,-0.16547289490699768,-0.08338650315999985,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101.6885,0.9459999799728394
OH,-0.12288069725036621,-0.0853687971830368,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,41.7577,111.2107,0.9459999799728394
MA,0.5,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67.0481,0,0.9459999799728394
CO,-0.061145201325416565,0.06634459644556046,0,2006,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2.824,277.1913,0.9459999799728394
WI,0.06477410346269608,0.14850209653377533,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.0394,24.7922,0.9459999799728394
CA,0.03402610123157501,0.5,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,1,72.2335,0,0.9459999799728394
TN,0.05728669837117195,0.1644601970911026,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,81.03970000000001,0,0.9459999799728394
AL,-0.2150713950395584,-0.19538800418376923,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5292,33.0375,0.9459999799728394
FL,-0.5,-0.130821093916893,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1282,66.57849999999999,0.9459999799728394
WA,0.14782220125198364,0.15723280608654022,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64.2299,4.2875,0.9459999799728394
CA,0.15176180005073547,0.18770229816436768,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85.1404,4.2311,0.9459999799728394
MA,0.5,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,115.9692,0,0.9459999799728394
WA,0.1193000003695488,0.13123440742492676,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73.5464,14.7274,0.9459999799728394
LA,0.29009321331977844,0.06548810005187988,0,2006,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,123.84079999999999,125.89649999999999,0.9459999799728394
AL,0.2503589987754822,0.5,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,1,57.916,0,0.9459999799728394
TN,-0.1634245067834854,-0.15686160326004028,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9588,143.9487,0.9459999799728394
TN,-0.2537789046764374,-0.12307190150022507,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7.8185,51.803700000000006,0.9459999799728394
NJ,-0.08341480046510696,-0.05613579973578453,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,55.455499999999994,108.199,0.9459999799728394
IN,-0.2345890998840332,-0.17316310107707977,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2955999999999999,78.1677,0.9459999799728394
PA,-0.010134399868547916,-0.006602100096642971,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,409.76629999999994,349.2402,0.9459999799728394
KY,-0.1737034022808075,-0.09579820185899734,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.3495,106.3078,0.9459999799728394
NH,-0.10413060337305069,0.03612609952688217,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,163.87290000000002,123.7271,0.9459999799728394
CA,-0.14181409776210785,-0.154258593916893,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.8834,110.26010000000001,0.9459999799728394
IL,-0.14143820106983185,-0.03375500068068504,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,188.2795,351.2971,0.9459999799728394
WV,0.15195660293102264,0.19361940026283264,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64.86420000000001,4.4188,0.9459999799728394
