psv_attack_pref,mk_dv,psv_country_fac,psv_context,psv_context_fac,psv_nuc_effective,mk_context_fac,mk_main_treat,hypothetical,mk_cont_pool,psv_correct_recall,mk_correct_recall,Gender,race,party,mk_context,psv_time,mk_time,psv_abst_conc_score,mk_abst_conc_score,knowledge_scale,nfc_scale,age,edu
1,1,Syria,1,Reduced,1,Original,0,1,0,0,0,Male,1,3,0,11.996,19.54,3,0,2,NA,59,7
1,3,Bolivia,0,Original,0,Extra Non-Innocuous,1,0,1,1,0,Male,1,2,2,192.673,75.899,4,3,1,NA,60,2
2,3,Bolivia,0,Original,1,Original,0,1,0,0,1,Male,1,3,0,2.213,1.421,3,0,1,NA,35,5
3,3,Malaguay,1,Reduced,0,Extra Innocuous,0,1,1,0,0,Female,1,2,1,4.316,52.088,1,1,1,NA,65,4
1,4,Syria,0,Original,0,Original,1,0,0,1,1,Male,1,2,0,142.325,13.136,5,1,2,NA,59,3
2,2,Malaguay,0,Original,1,Extra Innocuous,0,0,1,0,1,Female,1,2,1,6.217,16.173,3,2,1,NA,72,3
1,3,Bolivia,1,Reduced,0,Extra Innocuous,0,0,1,1,1,Female,1,1,1,100.851,63.221,3,2,0,NA,68,6
1,3,Syria,1,Reduced,0,Original,1,0,0,1,1,Male,7,1,0,70.918,13.796,4,1,2,NA,58,7
1,4,No-Name,0,Original,1,Extra Innocuous,1,1,1,1,0,Female,3,2,1,3.561,4.846,1,1,0,NA,NA,5
2,2,No-Name,0,Original,1,Original,1,0,0,1,0,Female,1,4,0,176.573,5.679,2,1,0,NA,67,3
2,3,Bolivia,0,Original,1,Original,0,0,0,1,1,Female,1,3,0,18.701,23.481,4,1,0,3.75,69,2
3,2,No-Name,0,Original,0,Original,0,1,0,1,1,Female,1,1,0,144.178,24.797,1,0,0,NA,73,2
1,4,Bolivia,1,Reduced,1,Extra Non-Innocuous,0,0,1,1,1,Male,1,1,2,122.007,74.735,3,3,1,NA,68,5
2,4,Malaguay,0,Original,0,Original,0,0,0,0,0,Male,4,2,0,6.821,3.013,3,1,1,NA,36,6
1,4,Bolivia,0,Original,1,Extra Non-Innocuous,0,1,1,1,0,Male,1,1,2,166.882,70.098,3,2,1,NA,77,6
1,4,Syria,1,Reduced,0,Extra Innocuous,0,1,1,1,0,Female,1,2,1,121.667,59.149,3,1,2,NA,69,3
1,1,No-Name,0,Original,0,Extra Non-Innocuous,1,0,1,1,0,Male,1,1,2,67.249,28.34,2,3,2,NA,73,8
2,4,Syria,0,Original,0,Extra Non-Innocuous,0,0,1,1,0,Female,1,1,2,159.202,46.967,5,3,0,NA,69,5
2,2,Syria,1,Reduced,0,Extra Innocuous,0,1,1,0,0,Male,1,2,1,42.6,30.857,3,1,2,NA,81,5
1,4,No-Name,1,Reduced,1,Extra Non-Innocuous,0,1,1,1,0,Female,7,3,2,64.929,32.856,0,2,2,NA,63,3
1,1,Malaguay,1,Reduced,1,Extra Non-Innocuous,1,0,1,0,0,Male,7,1,2,11.045,15.175,2,3,1,NA,72,3
2,3,Syria,1,Reduced,1,Extra Non-Innocuous,0,0,1,1,0,Male,4,2,2,43.17,5.892,4,3,0,2,36,6
1,4,No-Name,1,Reduced,0,Original,0,1,0,1,1,Male,1,1,0,54.242,20.583,0,0,2,3.125,77,2
1,4,Bolivia,0,Original,0,Extra Innocuous,0,1,1,0,0,Female,1,2,1,96.393,52.171,3,1,1,4.25,61,6
4,1,No-Name,0,Original,1,Original,1,0,0,1,0,Female,1,2,0,67.396,35.459,2,1,2,3,73,2
1,3,Syria,1,Reduced,1,Extra Innocuous,0,0,1,0,0,Female,1,1,1,66.735,47.533,4,2,0,3.625,63,3
1,3,Syria,1,Reduced,1,Extra Non-Innocuous,0,1,1,0,0,Male,1,1,2,34.466,22.575,3,2,1,3,69,5
1,1,Bolivia,0,Original,0,Extra Innocuous,0,1,1,1,1,Male,1,3,1,161.925,58.862,3,1,2,3.125,66,6
1,4,Syria,1,Reduced,0,Extra Innocuous,0,1,1,1,0,Female,1,3,1,46.624,44.047,3,1,1,2.75,69,5
3,2,Malaguay,1,Reduced,1,Original,0,0,0,1,1,Female,1,1,0,72.752,38.1,2,1,1,3.5,58,5
4,3,Malaguay,0,Original,1,Extra Non-Innocuous,1,0,1,1,0,Female,1,1,2,148.41,58.957,3,3,2,3.25,67,5
2,3,No-Name,0,Original,0,Extra Non-Innocuous,1,1,1,1,0,Male,1,3,2,129.594,44.124,1,2,1,2.875,71,5
1,3,Syria,1,Reduced,1,Extra Innocuous,1,0,1,0,0,Male,1,1,1,84.978,40.696,4,2,0,3.25,71,3
1,3,Syria,1,Reduced,0,Original,1,1,0,1,1,Female,1,3,0,83.04,25.842,3,0,0,2,34,2
1,1,No-Name,1,Reduced,0,Extra Innocuous,0,1,1,1,1,Male,1,1,1,93.798,40.489,0,1,2,2,70,3
1,3,No-Name,1,Reduced,0,Extra Non-Innocuous,0,1,1,1,0,Female,1,3,2,99.826,81.353,0,2,2,3.25,74,2
1,4,Syria,1,Reduced,0,Extra Non-Innocuous,0,1,1,1,0,Female,1,3,2,244.055,122.203,3,2,1,2.75,64,4
1,4,No-Name,1,Reduced,0,Original,0,1,0,1,1,Male,1,1,0,102.076,28.327,0,0,2,2.5,78,6
2,2,Malaguay,0,Original,0,Original,0,1,0,1,1,Female,1,3,0,82.961,21.101,2,0,1,3.375,66,5
2,2,Malaguay,0,Original,1,Original,0,0,0,0,1,Female,1,3,0,1686.926,46.537,3,1,2,3.75,68,5
1,1,Malaguay,0,Original,1,Extra Innocuous,0,0,1,1,1,Female,1,3,1,115.357,61.57,3,2,2,4,68,6
3,3,Bolivia,1,Reduced,1,Original,1,0,0,0,0,Female,2,3,0,282.231,1632.301,3,1,1,2.25,65,2
3,4,No-Name,1,Reduced,1,Original,1,0,0,1,0,Male,1,2,0,81.296,31.969,1,1,2,3,72,5
4,4,Bolivia,1,Reduced,0,Extra Non-Innocuous,1,0,1,1,1,Female,1,1,2,66.073,46.744,3,3,2,2.75,71,3
1,3,No-Name,0,Original,0,Original,0,1,0,0,1,Female,1,2,0,4.138,3.066,1,0,2,1.75,26,2
4,4,Bolivia,0,Original,0,Extra Innocuous,0,0,1,1,1,Female,1,2,1,162.963,57.375,4,2,0,NA,58,2
3,4,No-Name,0,Original,1,Extra Innocuous,0,1,1,1,1,Male,1,2,1,15.214,54.504,1,1,2,3,64,7
2,4,Malaguay,1,Reduced,1,Extra Non-Innocuous,0,0,1,1,1,Male,1,1,2,76.375,3.155,2,3,2,2.5,20,5
3,4,Syria,1,Reduced,0,Original,0,0,0,1,1,Female,1,3,0,131.104,15.526,4,1,2,2.375,63,7
2,3,Bolivia,1,Reduced,0,Original,0,1,0,1,0,Male,1,2,0,106.577,21.283,2,0,2,2.375,83,5
2,1,Bolivia,0,Original,0,Extra Innocuous,0,1,1,1,0,Female,1,1,1,22.655,28.941,3,1,1,2.25,60,3
3,3,Malaguay,0,Original,1,Extra Innocuous,0,1,1,1,0,Male,1,3,1,62.964,78.444,2,1,0,3.75,44,4
2,2,Bolivia,1,Reduced,0,Original,0,1,0,1,1,Male,1,2,0,92.909,47.8,2,0,1,2.5,73,1
1,2,Syria,0,Original,0,Extra Innocuous,0,1,1,0,0,Male,1,3,1,266.266,6.437,4,1,0,3,33,2
3,3,No-Name,1,Reduced,1,Extra Non-Innocuous,0,1,1,1,0,Female,1,2,2,100.456,122.827,0,2,1,2.625,56,5
1,3,Syria,1,Reduced,0,Extra Innocuous,1,1,1,0,1,Male,4,2,1,9.118,5.599,3,1,1,NA,50,5
3,4,No-Name,1,Reduced,1,Extra Innocuous,1,1,1,1,1,Female,1,1,1,122.683,53.412,0,1,1,2.625,48,4
2,4,Syria,0,Original,1,Extra Innocuous,1,0,1,0,0,Male,1,1,1,4.23,12.955,5,2,1,3.5,56,5
1,3,Bolivia,1,Reduced,0,Original,0,1,0,1,1,Male,3,3,0,66.29,16.634,2,0,2,1.875,30,2
2,4,No-Name,0,Original,1,Extra Innocuous,0,1,1,0,1,Female,2,1,1,4.033,4.089,1,1,1,2,19,2
2,2,Malaguay,0,Original,0,Extra Non-Innocuous,0,0,1,1,1,Female,1,1,2,113.544,54.514,3,3,2,2.25,63,3
2,2,Syria,0,Original,1,Extra Innocuous,1,0,1,0,0,Female,1,4,1,1153.299,1138.561,5,2,0,2.375,31,2
3,2,Bolivia,1,Reduced,0,Original,1,0,0,1,0,Male,2,1,0,5.686,3.301,3,1,2,3.375,63,6
1,3,Syria,1,Reduced,0,Original,1,0,0,1,1,Male,1,3,0,51.66,31.662,4,1,2,3.125,61,5
2,1,Syria,0,Original,1,Extra Non-Innocuous,0,0,1,0,0,Male,1,1,2,3.237,10.996,5,3,2,3.125,32,5
2,3,Malaguay,1,Reduced,1,Extra Non-Innocuous,0,0,1,1,1,Male,1,2,2,41.529,28.024,2,3,2,2.75,61,6
2,3,Bolivia,1,Reduced,0,Original,0,1,0,0,1,Female,3,4,0,99.041,50.726,2,0,1,2.875,30,1
3,3,Malaguay,0,Original,1,Extra Innocuous,0,1,1,1,1,Female,2,1,1,21.503,54.767,2,1,1,2.25,61,5
2,4,No-Name,0,Original,0,Extra Innocuous,1,1,1,0,1,Male,1,4,1,117.261,30.404,1,1,2,2.75,61,2
3,4,Bolivia,0,Original,1,Extra Non-Innocuous,1,0,1,0,0,Female,1,2,2,11.712,24.355,4,3,0,2.875,27,5
1,4,No-Name,1,Reduced,1,Extra Non-Innocuous,1,1,1,0,1,Female,1,2,2,5.141,4.085,0,2,1,2.5,41,2
1,1,Syria,0,Original,0,Original,0,0,0,0,0,Female,1,1,0,3.495,7.149,5,1,0,2.625,58,4
3,4,Bolivia,0,Original,1,Extra Non-Innocuous,0,1,1,0,0,Female,1,2,2,67.253,61.33,3,2,0,2.25,51,2
1,2,Malaguay,1,Reduced,0,Extra Innocuous,1,0,1,1,0,Male,1,3,1,59.516,67.739,2,2,2,3.4285714285714284,58,5
2,2,No-Name,1,Reduced,1,Extra Innocuous,0,1,1,1,1,Male,1,2,1,106.994,42.665,0,1,1,2.375,63,3
2,2,No-Name,1,Reduced,0,Extra Non-Innocuous,0,0,1,0,0,Female,1,3,2,43.542,34.908,1,3,1,3.125,60,1
1,1,Malaguay,1,Reduced,0,Extra Non-Innocuous,0,1,1,0,0,Female,3,1,2,85.316,252.64,1,2,1,3.125,65,6
