age_group,year,state,voted,yearSDR
18-24,1978,Alabama,0.2882882882882883,NA
18-24,1978,Alaska,0.28125,NA
18-24,1978,Arizona,0.20218579234972678,NA
18-24,1978,Arkansas,0.19811320754716982,NA
18-24,1978,California,0.2987358616101131,2018
18-24,1978,Colorado,0.2356687898089172,2014
18-24,1978,Connecticut,0.24774774774774774,2014
18-24,1978,Delaware,0.1732283464566929,NA
18-24,1978,Florida,0.23,NA
18-24,1978,Georgia,0.10975609756097561,NA
18-24,1978,Hawaii,0.28776978417266186,2018
18-24,1978,Idaho,0.20588235294117646,1994
18-24,1978,Illinois,0.2364341085271318,2006
18-24,1978,Indiana,0.2185430463576159,NA
18-24,1978,Iowa,0.21825396825396826,2008
18-24,1978,Kansas,0.25691699604743085,NA
18-24,1978,Kentucky,0.1392857142857143,NA
18-24,1978,Louisiana,0.22965116279069767,NA
18-24,1978,Maine,0.37662337662337664,1978
18-24,1978,Maryland,0.23310810810810811,2016
18-24,1978,Massachusetts,0.32075471698113206,NA
18-24,1978,Michigan,0.35501355013550134,NA
18-24,1978,Minnesota,0.4418604651162791,1978
18-24,1978,Mississippi,0.2692307692307692,NA
18-24,1978,Missouri,0.28296703296703296,NA
18-24,1978,Montana,0.3377777777777778,2006
18-24,1978,Nebraska,0.20320855614973263,NA
18-24,1978,Nevada,0.16783216783216784,NA
18-24,1978,New Hampshire,0.16153846153846155,1996
18-24,1978,New Jersey,0.21550094517958412,NA
18-24,1978,New Mexico,0.23412698412698413,NA
18-24,1978,New York,0.25653436592449175,NA
18-24,1978,North Carolina,0.12640449438202248,2008
18-24,1978,Ohio,0.23146944083224968,2006
18-24,1978,Oklahoma,0.22093023255813954,NA
18-24,1978,Oregon,0.32,NA
18-24,1978,Pennsylvania,0.24969400244798043,NA
18-24,1978,Rhode Island,0.2545454545454545,NA
18-24,1978,South Carolina,0.1722488038277512,NA
18-24,1978,South Dakota,0.3360995850622407,NA
18-24,1978,Tennessee,0.2996742671009772,NA
18-24,1978,Texas,0.18319719953325556,NA
18-24,1978,Utah,0.2746478873239437,2018
18-24,1978,Vermont,0.16339869281045752,2018
18-24,1978,Virginia,0.18911174785100288,NA
18-24,1978,Washington,0.17421602787456447,NA
18-24,1978,West Virginia,0.185,NA
18-24,1978,Wisconsin,0.326007326007326,1978
18-24,1978,Wyoming,0.328125,1994
18-24,1980,Alabama,0.3844086021505376,NA
18-24,1980,Alaska,0.36704119850187267,NA
18-24,1980,Arizona,0.43137254901960786,NA
18-24,1980,Arkansas,0.42857142857142855,NA
18-24,1980,California,0.3849862258953168,2018
18-24,1980,Colorado,0.45387453874538747,2014
18-24,1980,Connecticut,0.4263565891472868,2014
18-24,1980,Delaware,0.34814814814814815,NA
18-24,1980,Florida,0.3592592592592593,NA
18-24,1980,Georgia,0.28809523809523807,NA
18-24,1980,Hawaii,0.39790575916230364,2018
18-24,1980,Idaho,0.4931972789115646,1994
18-24,1980,Illinois,0.48339973439575035,2006
18-24,1980,Indiana,0.45933014354066987,NA
18-24,1980,Iowa,0.5187319884726225,2008
18-24,1980,Kansas,0.39932885906040266,NA
18-24,1980,Kentucky,0.3987730061349693,NA
18-24,1980,Louisiana,0.4375,NA
18-24,1980,Maine,0.5214285714285715,1978
18-24,1980,Maryland,0.445141065830721,2016
18-24,1980,Massachusetts,0.45047169811320753,NA
18-24,1980,Michigan,0.49504950495049505,NA
18-24,1980,Minnesota,0.6153846153846154,1978
18-24,1980,Mississippi,0.4115942028985507,NA
18-24,1980,Missouri,0.4870967741935484,NA
18-24,1980,Montana,0.5172413793103449,2006
18-24,1980,Nebraska,0.4489051094890511,NA
