ID,Male,Before8,Before7,Before6,Before5,Before4,Before3,Before2,Before1,After1,After2,After3,After4,After5,After6,After7,After8,After9,After10,After11,After12,Before,After,Control,High
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857142857143,1,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0.25,0.428571428571429,1,0
27,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0.5,0.285714285714286,1,0
28,0,0,1,1,1,1,2,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0.875,0.428571428571429,1,0
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
31,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.25,2,1,0
32,1,1,0,1,1,1,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0,1.25,0,1,0
33,1,2,2,0,1,1,1,2,1,0,0,0,1,1,2,2,3,3,2,3,2,1.25,2.42857142857143,1,0
34,1,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.375,0.142857142857143,1,0
35,0,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1.5,1.28571428571429,1,0
36,0,2,2,2,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1.625,2,1,0
37,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,0,1,2,2,2,1.875,1.57142857142857,1,0
38,0,2,2,4,3,3,3,2,2,3,2,3,3,3,2,2,1,2,3,3,2,2.625,2.14285714285714,1,0
39,0,3,4,3,1,3,3,3,3,4,4,2,1,4,2,5,3,2,0,5,3,2.875,2.85714285714286,1,0
40,0,5,5,2,4,5,5,5,5,5,5,5,5,0,5,5,5,5,4,5,5,4.5,4.85714285714286,1,0
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
