SHEET,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,NCALLS,EMPFT,EMPPT,NMGRS,WAGE_ST,INCTIME,FIRSTINC,BONUS,PCTAFF,MEALS,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS,NREGS11,TYPE2,STATUS2,DATE2,NCALLS2,EMPFT2,EMPPT2,NMGRS2,WAGE_ST2,INCTIME2,FIRSTIN2,SPECIAL2,MEALS2,OPEN2R,HRSOPEN2,PSODA2,PFRY2,PENTREE2,NREGS2,NREGS112
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,0.1,1,0,2,10,12,0.87,0.82,1.79,2,2,1,1,111492,NA,0,36,2,5.25,26,0.15,0,2,10,12,0.92,0.79,0.87,2,2
61,4,1,0,0,0,0,1,0,0,0,6,26,5,5.5,52,0.15,1,0,3,10,12,0.87,0.77,1.65,2,2,1,1,111492,NA,28,3,6,4.75,13,0.15,0,2,10,12,1.01,0.84,0.95,2,2
445,1,0,0,0,0,0,0,1,0,0,50,35,3,5,26,0.1,0,0,2,6,18,1.04,0.88,0.94,3,3,1,1,110792,NA,15,18,5,4.75,26,0.15,0,2,6,18,1.04,0.86,0.94,3,3
451,1,0,0,0,0,0,0,1,0,0,10,17,5,5,52,0.25,0,0,2,0,24,1.05,0.84,0.96,6,4,1,1,111792,2,26,9,6,5,26,0.2,0,2,0,24,1.11,0.84,0.94,6,3
455,2,1,0,0,0,0,0,1,0,0,2,8,5,5.25,13,0.25,0,0,1,11,10,0.73,0.73,2.32,2,2,1,1,111292,NA,3,12,2,5,13,0.25,0,2,11,11,0.94,0.84,2.32,4,3
458,2,1,0,0,0,0,1,0,0,2,2,10,2,5,19,0.15,0,0,1,11,10,0.94,0.73,2.32,4,4,1,1,111792,1,2,9,2,5,13,0.25,0,1,11,10.5,0.9,0.73,2.32,4,3
462,3,1,0,0,0,0,0,1,0,0,2.5,20,3,5,13,0.37,1,5,2,9,12.5,1.05,1.01,1.11,4,4,2,1,122292,1,1,25,4,4.75,13,0.2,0,2,9,12,1.01,1.01,0.89,6,3
468,1,0,0,0,0,0,0,1,0,0,40,30,3,5,13,0.17,0,0,2,6,18,0.95,0.94,0.95,4,3,1,1,110792,NA,9,32,4,5,26,0.13,1,2,6,18,0.97,0.84,0.86,4,3
469,1,0,0,0,0,0,0,1,0,0,8,27,5,5,39,0.25,0,80,2,6,18,0.92,0.72,0.96,3,2,1,1,111692,1,7,39,4,4.5,41,0.23,0,2,6,18,0.92,0.81,0.87,3,3
470,1,0,0,0,0,0,0,1,0,0,10.5,30,3,5.5,NA,0.3,0,0,2,6,18,0.97,0.84,0.94,3,3,1,1,111792,2,18,10,3,4.75,13,0.15,1,2,6,18,1.03,0.84,0.94,3,2
474,1,0,0,0,0,0,0,1,0,2,6,9,3,5,26,0.37,0,0,2,9,12.5,1.13,0.98,1.01,3,1,2,1,122292,1,5,20,3,4.5,NA,0,0,2,8.5,13,1.09,0.94,0.94,3,2
481,2,1,0,0,0,0,0,1,0,2,5,17.5,3,5.25,26,0.25,1,0,3,11,10,0.95,0.74,2.53,5,4,1,1,111792,2,15,4,3,5,26,0.25,1,2,11,11,0.74,0.73,2.53,3,3
483,2,1,0,0,0,0,0,1,0,0,1,15,1,5,13,0.07,1,0,2,11,10,0.94,0.73,2.32,4,3,1,1,111292,NA,4,13,3,4.75,13,0.18,0,1,11,11,0.95,0.74,2.33,4,3
487,3,1,0,0,0,0,0,1,0,0,10,6,2,5,13,0.17,1,0,2,10,11.5,1.11,0.91,0.95,6,3,1,1,111192,NA,6,20,3,4.75,26,0.1,0,2,10.5,11,1.05,1.01,0.94,6,1
488,3,0,0,0,0,0,0,1,0,1,20,13,3,5,13,0.25,1,0,2,6,16,1.05,0.79,1.01,5,5,1,1,111192,NA,5,15,3,4.75,26,0.13,0,2,7,15,1.01,1.01,0.94,5,3
489,3,0,0,0,0,0,0,1,0,2,5,23,2,5,13,0.37,1,6,2,7,14,1.05,1.01,0.94,4,4,1,1,111892,2,2,19,3,4.25,26,0.13,0,2,10,11.5,1.01,1.01,1.05,6,3
490,3,1,0,0,0,0,0,1,0,0,10,12.5,4,5,13,0.12,0,0,2,6,16,1.05,1.01,1.05,4,4,1,1,111692,1,2,18,3,5,26,0.28,0,2,6,16,1.01,1.01,1.05,5,3
493,3,1,0,0,0,0,1,0,0,0,27,12,3,5,26,0.25,0,0,2,6,16,1.05,0.9,2.01,6,3,1,1,111192,NA,0,30,4,4.9,13,0.25,0,2,6,16,1.02,1.01,0.84,3,3
495,3,0,0,0,0,0,0,1,0,2,4,28,3,5,26,0.25,0,2,2,7,15,1.05,1.01,0.94,3,3,1,1,111192,NA,8,20,3,5,26,0.25,1,2,6,16,0.96,1.01,1.01,5,3
496,3,1,0,0,0,0,0,1,0,0,10,15,3,5,13,0.17,1,0,2,6,16,1.05,0.9,0.73,5,3,1,1,111192,NA,10,10,3,4.75,19,0.18,0,2,6,16,1.01,1.01,0.89,NA,NA
499,4,1,0,0,0,0,0,1,0,0,0,28,5,5,26,0.07,1,11,2,10,12,0.9,0.69,1.75,2,2,1,1,111492,1,0,31,5,5,26,0.1,1,2,10,12,0.9,0.69,0.94,2,2
509,3,1,0,0,0,0,0,1,0,2,3,16,3,5,13,0.25,0,30,2,6,16,1.05,0.95,1.16,6,3,1,1,111192,NA,5.5,10,3,4.25,26,0.2,0,2,6.5,15.5,1,1.01,0.94,3,2
515,3,1,0,0,0,0,0,1,0,0,7,16,4,5,13,0.2,0,33,2,6,16,1.05,0.94,1.16,5,3,1,1,111192,NA,5,19,3,4.75,13,0.18,0,2,6,16,1.01,1.01,0.94,5,4
37,1,0,0,0,0,0,1,0,0,2,21,9,7,4.25,4,0.25,0,33,2,6.5,16.5,0.98,0.84,0.84,5,3,1,1,111092,NA,6,25,7,4.25,52,0.18,0,2,6.5,16.5,0.98,0.84,0.86,6,3
40,1,0,0,0,0,0,1,0,0,0,10,20,7,4.25,4,0.15,0,100,2,6.5,16.5,0.98,0.82,0.8,3,3,1,1,111092,NA,7,25,6,4.25,8,0.13,0,2,6.5,17.5,0.98,0.82,0.87,3,2
41,1,0,0,0,0,0,1,0,0,0,0,27,6,4.25,18,0.2,0,100,2,6.5,16.5,0.98,0.82,0.85,3,3,1,1,111892,2,0,42,6,4.25,NA,NA,0,2,6.5,17.5,0.94,0.78,0.91,3,2
42,1,0,0,0,0,0,1,0,0,2,17,4,5,4.5,NA,NA,0,100,2,6.5,16.5,0.98,0.83,0.86,3,3,1,1,111792,1,0,22,5,4.25,26,0.25,0,2,6.5,16.5,0.94,NA,NA,3,2
45,1,0,0,0,0,0,1,0,0,0,0,24,6,4.25,2,0.25,0,25,2,7,16,0.98,0.83,0.86,3,3,1,1,111092,NA,11,12,2,4.25,26,0.15,0,3,6.5,17.5,0.98,0.75,0.86,3,3
47,1,0,0,0,0,0,1,0,0,2,25,15,NA,4.5,4,0.17,0,75,2,6,17,1.05,0.86,0.86,3,3,1,1,111092,NA,0,45,2,4.25,NA,NA,0,2,6,18,1.05,0.86,0.86,3,NA
48,1,0,0,0,0,0,1,0,0,0,6,20,3,4.25,13,0.2,1,31,3,7,14,1.01,0.84,0.63,4,3,1,1,111092,NA,7.5,25,5,4.38,13,0.25,1,3,7,14,0.98,0.79,0.87,4,3
50,2,0,0,0,0,0,1,0,0,0,6,10,3,4.5,13,NA,0,20,2,10,12,1.01,0.89,3.5,4,3,1,1,111292,NA,4,20,3,4.75,13,0.1,0,2,10,13,1.01,0.89,2.35,4,3
51,2,0,0,0,0,0,1,0,0,1,0,15,3,4.25,NA,0.15,0,100,2,10,13,1.01,0.89,2.35,4,3,1,1,111792,2,6,15,3,4.25,NA,NA,0,2,10,13,1,0.89,2.35,5,3
57,4,1,0,0,0,0,1,0,0,0,30,10,3,4.67,26,0.07,1,70,2,10,12,0.87,0.79,0.9,2,2,1,1,111492,1,7,18,4,4.5,26,0.13,1,2,10,12,1.01,0.78,0.9,2,2
58,4,1,0,0,0,0,1,0,0,2,8,25,3,4.75,26,0.15,0,80,2,10,12,0.87,0.77,1.01,2,2,1,1,111492,2,0,28,4,4.5,26,0.08,1,2,10,12,1.04,0.84,0.94,2,2
59,4,0,0,0,0,0,1,0,0,3,0,15,3,4.25,26,0.1,0,90,1,7.5,10.5,0.91,0.89,0.81,2,2,1,1,111492,1,0,16,4,4.25,26,0.1,0,1,7.5,10.5,1.01,0.84,0.86,2,2
60,4,0,0,0,0,0,1,0,0,0,10,20,5,4.25,4,0.1,0,75,1,10.5,11.5,0.94,0.74,0.86,2,2,1,1,111792,2,10,20,5,4.25,4,0.25,0,1,10,12,0.98,0.84,0.86,2,2
407,2,1,0,0,0,0,0,1,0,0,2,12,3,4.75,52,0.12,0,90,3,11,10,0.95,0.74,2.33,4,3,1,1,111492,NA,1,14,3,4.25,4,0.3,0,1,11,11,0.95,0.84,2.53,4,3
430,1,0,0,0,0,0,1,0,0,0,20,25,4,4.25,13,0.15,0,44,2,7,15,0.95,0.75,0.8,3,3,1,1,110792,NA,0,48,3,4.25,26,0.13,0,2,7,16,0.91,0.73,0.75,3,3
432,1,0,0,0,0,0,1,0,0,0,20,55,5,4.5,17,0.15,0,75,2,7,16,0.94,0.74,0.79,4,3,1,1,110792,1,25,10,4,5.05,26,0.2,0,2,7,16,0.94,0.74,0.79,3,1
434,1,0,0,0,0,0,1,0,0,2,15,50,5,4.25,6,0.25,0,77,2,7,16,0.95,0.75,NA,3,3,1,1,111692,NA,19,29,4,4.25,NA,NA,0,2,7,16,0.95,0.8,0.8,3,3
435,1,0,0,0,0,0,1,0,0,1,1,37.5,3,4.25,4,0.17,1,25,2,6.5,15.5,0.95,0.75,0.79,3,3,1,1,110792,NA,0,32,5,4.25,6,0.15,1,2,6.5,15.5,0.94,0.74,0.79,3,2
438,2,0,0,0,0,0,1,0,0,2,0,9,3,4.25,52,0.07,0,11,2,11,8,1.01,0.84,2.43,2,1,1,1,111292,NA,2,9,3,4.25,52,0.05,0,2,11,9,0.95,0.84,2.43,2,1
441,4,0,0,0,0,0,1,0,0,2,30,10,3,4.25,4,0.25,1,100,2,10.5,11.5,0.89,0.77,0.84,2,2,1,1,111392,NA,0,30,3,4.25,4,0.25,0,2,10.5,11.5,1,0.8,1.81,2,2
443,4,0,0,0,0,0,1,0,0,0,4,19,4,4.25,4,0.25,0,95,2,10.5,11.5,0.89,0.79,1.8,2,2,1,1,111392,NA,5,20,4,4.35,17,0.18,0,2,10.5,11.5,1,0.8,1.81,2,2
444,4,0,0,0,0,0,1,0,0,2,12,20,3,4.25,19,0.37,0,NA,2,10.5,12.5,0.89,0.8,0.84,2,2,1,1,111392,NA,10,35,4,4.5,4,0.3,0,2,10.5,11.5,0.89,NA,0.79,2,2
448,1,0,0,0,0,0,0,1,0,0,8,18,4,4.75,4,0.25,1,78,2,6,18,0.97,0.84,0.91,3,3,1,1,111892,1,8,27,3,4.5,13,0.25,0,2,6,18,0.96,0.83,0.87,3,3
449,1,0,0,0,0,0,0,1,0,2,0,25,3,4.87,3.5,NA,0,3,2,6,18,NA,NA,NA,4,4,1,1,110792,NA,15,15,5,5,52,0.25,0,2,6,18,0.97,0.84,0.73,3,3
450,1,0,0,0,0,0,0,1,0,0,2,21,3,4.75,13,0.15,0,50,2,6.5,16.5,0.97,0.82,0.84,3,3,1,1,111892,2,27.5,8,3,4.75,13,0.25,1,2,6,18,0.91,0.84,0.86,3,3
454,2,1,0,0,0,0,0,1,0,0,1,9,3,4.5,4,0.15,0,NA,2,11,10,0.94,0.73,2.53,4,3,1,1,111292,NA,0,18,5,5,13,0.25,0,1,11,11,0.94,0.73,2.64,4,3
459,3,1,0,0,0,0,0,1,0,0,5,20,3,4.25,13,0.37,0,NA,2,6,16,1.05,0.9,0.94,5,NA,2,1,122292,1,0,20,5,4.35,28,0.15,1,2,7,15,1.01,1.01,0.89,4,2
471,1,0,0,0,0,0,0,1,0,2,25,20,4,4.25,26,NA,0,50,2,6,18,0.97,0.84,0.91,2,2,1,1,111692,NA,12,23,3,4.25,26,0.15,0,2,6,18,0.97,0.86,0.91,3,1
472,1,0,0,0,0,0,0,1,0,2,37.5,2,3,4.25,52,NA,0,80,2,6.5,16.5,0.97,1.05,0.91,3,3,1,1,110792,NA,8,25,3,4.9,13,0.18,0,2,6,17,0.96,0.84,0.91,3,3
473,1,0,0,0,0,0,0,1,0,0,5,27,4,4.75,26,0.5,1,50,2,6,17,0.97,0.86,0.89,3,2,1,1,111792,1,26,15,2,4.5,19,0.13,0,2,6,17,0.97,0.84,0.86,3,3
475,1,0,0,0,0,0,0,1,0,1,25,8,3,4.5,NA,NA,0,60,1,7,15,1.02,0.89,0.9,3,3,1,1,110792,NA,10,16,3,4.5,26,0.15,0,1,7,15,1.02,0.94,0.9,3,3
476,1,0,0,0,0,0,1,0,0,2,6,30,3,4.25,52,0.12,0,60,2,6,18,0.95,0.79,0.91,3,3,1,1,111792,1,5,30,3,4.75,52,0.2,0,2,6,18,0.96,0.84,1.18,3,3
477,1,0,0,0,0,0,0,1,0,1,8,28,4,4.25,39,0.12,1,50,2,6.5,16.5,0.97,0.78,0.99,3,3,1,1,110792,NA,6,20,4,6.25,26,0.5,0,2,6,17,0.96,0.84,0.89,3,3
478,1,0,0,0,0,0,1,0,0,0,32,25,4,4.5,13,0.22,0,30,2,6,19,0.97,0.86,0.91,3,3,2,1,122292,1,8,30,4,4.35,13,0.25,0,2,6,18,1.01,0.88,0.91,3,2
485,2,1,0,0,0,0,0,1,0,2,1,9,3,4.5,26,0.37,0,80,2,11,10,0.95,0.74,2.33,4,3,1,1,111292,NA,4,12,3,4.5,19,NA,0,2,11,11,1.01,0.73,2.32,4,3
492,3,1,0,0,0,0,0,1,0,0,2,16,3,4.5,13,0.25,0,75,2,9,12.5,1.11,1.05,0.94,2,1,1,1,111192,NA,4,15,2,4.5,19,0.1,0,2,9,12.5,1.11,1.11,1.05,2,1
